ID,角色,角色名多语言表ID,等级,品阶,攻击力,PVP攻击力,buff,血量,攻击速度,移动速度,子弹速度,攻击范围,宠物ID,升级预览,升级消耗,掉落,战力,锁定范围,免伤比例,,,,,,,
ID,roleId,name,grade,quality,attack,pvpattack,buff,hp,aSpeed,mSpeed,fSpeed,scope,pet,preview,consume,dropId,fight,lockScope,reduction,,,,,,,
int,int,int,int,string,float,float,int,int,float,float,float,float,int,string,string,int,float,float,float,,,,,,,
1001001,1001,45,1,B,100,50,,60,0,8,0,0,0,"1-1,2-2",1-64,0,100,15,0,64,2.5,,,,,60
1001002,1001,45,2,B,105,54,,70,0,8,0,0,0,"1-1.2,2-22",1-66,0,105,15,0,66,2.5,,,,,70
1001003,1001,45,3,B,110,58,,80,0,8,0,0,0,"1-1.3,2-15",1-70,0,110,15,0,70,2.5,,,,,80
1001004,1001,45,4,B,116,62,,90,0,8,0,0,0,"1-1.4,2-6",1-74,0,116,15,0,74,2.5,,,,,90
1001005,1001,45,5,B,122,66,,100,0,8,0,0,0,"1-1.5,2-5.5",1-78,0,122,15,0,78,2.5,,,,,100
1001006,1001,45,6,B,129,70,,110,0,8,0,0,0,"1-1.6,2-4.5",1-88,0,129,15,0,88,2.5,,,,,110
1001007,1001,45,7,B,136,74,,120,0,8,0,0,0,"1-1.7,2-3.5",1-93,0,136,15,0,93,2.5,,,,,120
1001008,1001,45,8,B,144,78,,130,0,8,0,0,0,"1-1.9,2-2.8",1-99,0,144,15,0,99,2.5,,,,,130
1001009,1001,45,9,B,152,82,,140,0,8,0,0,0,"1-3,2-2.6",1-105,0,152,15,0,105,2.5,,,,,140
1001010,1001,45,10,B,161,86,,150,0,8,0,0,0,"1-3,2-2.7",1-111,0,161,15,0,111,2.5,,,,,150
1001011,1001,45,11,B,170,90,,160,0,8,0,0,0,"1-3,2-2.8",1-126,0,170,15,0,126,2.5,,,,,160
1001012,1001,45,12,B,180,94,,170,0,8,0,0,0,"1-3,2-2.9",1-133,0,180,15,0,133,2.5,,,,,170
1001013,1001,45,13,B,190,98,,180,0,8,0,0,0,"1-3,2-2.10",1-141,0,190,15,0,141,2.5,,,,,180
1001014,1001,45,14,B,201,102,,190,0,8,0,0,0,"1-3,2-2.11",1-148,0,201,15,0,148,2.5,,,,,190
1001015,1001,45,15,B,212,106,,200,0,8,0,0,0,"1-3,2-2.12",1-156,0,212,15,0,156,2.5,,,,,200
1001016,1001,45,16,B,224,110,,210,0,8,0,0,0,"1-3,2-2.13",1-176,0,224,15,0,176,2.5,,,,,210
1001017,1001,45,17,B,236,114,,220,0,8,0,0,0,"1-3,2-2.14",1-186,0,236,15,0,186,2.5,,,,,220
1001018,1001,45,18,B,249,118,,230,0,8,0,0,0,"1-3,2-2.15",1-196,0,249,15,0,196,2.5,,,,,230
1001019,1001,45,19,B,262,122,,240,0,8,0,0,0,"1-3,2-2.16",1-207,0,262,15,0,207,2.5,,,,,240
1001020,1001,45,20,B,276,126,,250,0,8,0,0,0,"1-3,2-2.17",1-218,0,276,15,0,218,2.5,,,,,250
1001021,1001,45,21,B,290,130,,260,0,8,0,0,0,"1-3,2-2.18",1-243,0,290,15,0,243,2.5,,,,,260
1001022,1001,45,22,B,305,134,,270,0,8,0,0,0,"1-3,2-2.19",1-255,0,305,15,0,255,2.5,,,,,270
1001023,1001,45,23,B,320,138,,280,0,8,0,0,0,"1-3,2-2.20",1-268,0,320,15,0,268,2.5,,,,,280
1001024,1001,45,24,B,336,142,,290,0,8,0,0,0,"1-3,2-2.21",1-282,0,336,15,0,282,2.5,,,,,290
1001025,1001,45,25,B,352,146,,300,0,8,0,0,0,"1-3,2-2.22",1-295,0,352,15,0,295,2.5,,,,,300
1001026,1001,45,26,B,376,150,,310,0,8,0,0,0,"1-3,2-2.23",1-334,0,376,15,0,334,2.5,,,,,310
1001027,1001,45,27,B,400,154,,320,0,8,0,0,0,"1-3,2-2.24",1-356,0,400,15,0,356,2.5,,,,,320
1001028,1001,45,28,B,425,158,,330,0,8,0,0,0,"1-3,2-2.25",1-378,0,425,15,0,378,2.5,,,,,330
1001029,1001,45,29,B,450,162,,340,0,8,0,0,0,"1-3,2-2.26",1-400,0,450,15,0,400,2.5,,,,,340
1001030,1001,45,30,B,476,166,,350,0,8,0,0,0,"1-3,2-2.27",1-423,0,476,15,0,423,2.5,,,,,350
1001031,1001,45,31,B,502,170,,360,0,8,0,0,0,"1-3,2-2.28",1-471,0,502,15,0,471,2.5,,,,,360
